Date,HomeTeam,AwayTeam,Bet,Odds,EV,ActualResult,Profit,Won
2026-01-03,Elche,Villarreal,away,2.2,0.2148974100979648,away,1.2000000000000002,True
2026-01-03,Espanol,Barcelona,away,1.5,0.12826744782942412,away,0.5,True
2026-01-03,Osasuna,Ath Bilbao,home,3.0,0.1090245322581136,draw,-1.0,False
2026-01-04,Sociedad,Ath Madrid,away,1.91,0.07151251096995992,draw,-1.0,False
2026-01-04,Mallorca,Girona,home,2.25,0.1352881949209257,away,-1.0,False
2026-01-04,Alaves,Oviedo,away,5.25,0.11623342310885665,draw,-1.0,False
2026-01-09,Getafe,Sociedad,home,3.3,0.16264631408492103,away,-1.0,False
2026-01-10,Girona,Osasuna,draw,3.25,0.07563290514154697,home,-1.0,False
2026-01-10,Oviedo,Betis,draw,3.5,0.03657695161511931,draw,2.5,True
2026-01-10,Valencia,Elche,draw,3.2,0.08549797429625072,draw,2.2,True
2026-01-10,Villarreal,Alaves,home,1.45,0.08565684781185245,home,0.44999999999999996,True
2026-01-11,Levante,Espanol,home,3.1,0.08026449623810628,draw,-1.0,False
2026-01-12,Sevilla,Celta,draw,3.3,0.11873820728537487,away,-1.0,False
2026-01-17,Betis,Villarreal,away,2.63,0.16477602317191287,home,-1.0,False
2026-01-17,Mallorca,Ath Bilbao,home,3.8,0.2346704996083695,home,2.8,True
2026-01-18,Celta,Vallecano,home,2.05,0.18171495659602765,home,1.0499999999999998,True
2026-01-18,Sociedad,Barcelona,away,1.55,0.12088720919211626,home,-1.0,False
2026-01-19,Elche,Sevilla,draw,3.3,0.08837540602522087,draw,2.3,True
2026-01-23,Levante,Elche,draw,3.3,0.20673280271539984,home,-1.0,False
2026-01-24,Villarreal,Real Madrid,away,2.0,0.09067427386929938,away,1.0,True
2026-01-24,Vallecano,Osasuna,away,3.6,0.03179244277857385,away,2.6,True
2026-01-24,Sevilla,Ath Bilbao,away,2.63,0.05508599420723059,home,-1.0,False
2026-01-24,Valencia,Espanol,home,2.45,0.0705686120568294,home,1.4500000000000002,True
2026-01-25,Alaves,Betis,away,2.7,0.25427365886055386,home,-1.0,False
2026-01-25,Sociedad,Celta,away,3.9,0.2992821806173116,home,-1.0,False
2026-01-26,Girona,Getafe,home,2.1,0.12331009364117218,draw,-1.0,False
2026-01-31,Oviedo,Girona,home,2.75,0.05261369069706623,home,1.75,True
2026-01-31,Osasuna,Villarreal,away,2.55,0.3382093130904844,draw,-1.0,False
2026-01-31,Elche,Barcelona,draw,5.75,0.19948029335911954,away,-1.0,False
2026-02-01,Ath Bilbao,Sociedad,home,2.3,0.11736481375882035,draw,-1.0,False
2026-02-01,Betis,Valencia,home,1.83,0.08118079546946877,home,0.8300000000000001,True
2026-02-01,Getafe,Celta,away,2.8,0.1058294134260993,draw,-1.0,False
2026-02-01,Real Madrid,Vallecano,home,1.25,0.06581176263529143,home,0.25,True
2026-02-02,Mallorca,Sevilla,home,2.4,0.12244522664051938,home,1.4,True
2026-02-07,Barcelona,Mallorca,draw,9.0,0.11673451277904756,home,-1.0,False
2026-02-07,Sociedad,Elche,draw,4.0,0.08353652912967635,home,-1.0,False
2026-02-08,Valencia,Real Madrid,away,1.55,0.11376181926595597,away,0.55,True
2026-02-08,Sevilla,Girona,draw,3.3,0.12988230319566885,draw,2.3,True
2026-02-08,Alaves,Getafe,home,2.3,0.14385712699813547,away,-1.0,False
2026-02-08,Ath Madrid,Betis,away,6.25,0.28193721947361006,away,5.25,True
2026-02-09,Villarreal,Espanol,home,1.7,0.1429062196602071,home,0.7,True
2026-02-13,Elche,Osasuna,draw,3.3,0.2434520350002023,draw,2.3,True
